name,ra_deg,dec_deg,mag_v
Yed Posterior,244.580374,-4.69251,3.23
Brachium,226.017567,-25.281961,3.25
Sulafat,284.735928,32.689557,3.25
Skat,343.662556,-15.820827,3.27
Edasich,231.232396,58.966063,3.29
Propus,93.719405,22.506794,3.31
Megrez,183.856503,57.032615,3.32
Chertan,168.560019,15.429571,3.33
Alzirr,101.322351,12.895592,3.35
Muscida,127.566128,60.71817,3.35
Segin,28.598857,63.670101,3.35
Rasalgethi,258.66191,14.390333,3.37
Heze,203.6733,-0.59582,3.38
Meissa,83.784486,9.934156,3.39
Minelauva,193.900869,3.39747,3.39
Homam,340.365503,10.831363,3.41
Mothallah,28.27045,29.578826,3.42
Adhafera,154.172567,23.417312,3.43
Azmidi,117.323563,-24.859786,3.45
Tania Borealis,154.274095,42.914356,3.45
Achird,12.276213,57.815187,3.46
Ashlesha,131.693794,6.418809,3.49
Alula Borealis,169.619737,33.094305,3.49
Nekkar,225.48651,40.390567,3.49
Unurgunite,105.429782,-27.93483,3.49
Wasat,110.030749,21.982316,3.5
Sadalbari,342.500809,24.601577,3.51
Biham,332.549939,6.197863,3.52
Sheliak,282.519978,33.362668,3.52
Subra,145.28764,9.892308,3.52
Tarf,124.128838,9.185544,3.53
Ain,67.154163,19.180435,3.53
Rana,55.812086,-9.763392,3.53
Kaffaljidhma,40.825163,3.235816,3.56
Pipirima,253.083939,-38.017535,3.56
Algedi,304.513566,-12.544852,3.58
Nembus,24.498154,48.628214,3.59
Zavijava,177.673826,1.764717,3.59
Ginan,185.340039,-60.401147,3.59
Bharani,42.495972,27.260507,3.61
Atlas,57.290597,24.053415,3.62
Rotanev,309.387235,14.595115,3.64
Prima Hyadum,64.948349,15.627643,3.65
Nusakan,231.957211,29.105699,3.66
Thuban,211.097291,64.375851,3.67
Fulu,9.242851,53.896908,3.69
Nashira,325.022735,-16.662308,3.69
Saclateni,75.619531,41.075839,3.69
Taiyangshou,176.512559,47.779406,3.69
Alshain,298.828304,6.406763,3.71
Electra,56.218904,24.113336,3.72
Chamukuy,67.165586,15.870882,3.73
Grumium,268.382207,56.872646,3.73
Ran,53.232687,-9.458259,3.73
Baten Kaitos,27.865137,-10.335044,3.74
Miram,42.674207,55.895497,3.77
Sualocin,309.90953,15.912073,3.77
Albali,311.918969,-9.495775,3.78
Secunda Hyadum,65.733719,17.542514,3.78
Misam,47.374048,44.857541,3.79
Praecipua,163.327937,34.214872,3.79
Theemin,68.88766,-30.562341,3.81
Alrescha,30.511772,2.763735,3.82
Giausar,172.85092,69.331075,3.82
Marfik,247.728453,1.983888,3.82
Alpherg,22.870873,15.345823,3.83
Atik,56.07972,32.28824,3.84
Polis,273.44087,-21.058832,3.84
Dalim,48.018864,-28.98762,3.86
Sadachbia,335.414064,-1.387334,3.86
Iklil,239.221151,-29.214073,3.87
Maia,56.456695,24.367751,3.87
Rasalas,148.190903,26.006953,3.88
Azha,44.106873,-8.898145,3.89
Zaniah,184.976476,-0.666793,3.89
Ukdah,144.964008,-1.14281,3.9
Zubenelhakrabi,233.881578,-14.789536,3.91
Kitalpha,318.955949,5.247865,3.92
Asellus Australis,131.171248,18.154309,3.94
Arkab Prior,290.659551,-44.458959,3.96
Rukbat,290.97157,-40.61594,3.96
Beemim,66.009239,-34.016848,3.97
Menkib,59.741253,35.791032,3.98
Alcor,201.306403,54.987954,3.99
Mekbuda,106.027215,20.570295,4.01
Alchiba,182.103402,-24.728875,4.02
Sceptrum,69.545104,-14.304017,4.02
Wurren,17.096173,-55.245758,4.02
Aldulfin,308.303216,11.303261,4.03
Beid,62.966415,-6.83758,4.04
Syrma,214.003623,-6.000545,4.07
Alkes,164.943604,-18.298783,4.08
Gudja,237.184903,18.141564,4.09
Titawin,24.199342,41.405457,4.09
Meridiana,287.368087,-37.904473,4.11
Muliphein,105.939554,-15.633286,4.11
Zhang,147.869558,-14.846603,4.11
Merope,56.581552,23.948348,4.14
Alkaphrah,135.906365,47.156525,4.16
Ancha,334.208485,-7.783291,4.17
Kang,213.223939,-10.273704,4.18
Xuange,214.095912,46.088306,4.18
Chara,188.435603,41.357479,4.24
Alsciaukat,125.708792,43.188131,4.25
Acubens,134.62174,11.857687,4.26
Kurhah,330.947724,64.627971,4.26
Arkab Posterior,290.80474,-44.799779,4.27
Torcular,26.348466,9.157737,4.29
